TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceEventClassID,LogSeverity,Computer,DestinationIP,SourceIP,DeviceVersion,Activity,EventCount,DestinationHostName,SourceHostName,EventType,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,Type,TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceEventClassID,LogSeverity,Computer,DestinationIP,SourceIP,DeviceVersion,Activity,EventCount,DestinationHostName,SourceHostName,EventType,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,Type,TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceEventClassID,LogSeverity,Computer,DestinationIP,SourceIP,DeviceVersion,Activity,EventCount,DestinationHostName,SourceHostName,EventType,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,Type,TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceEventClassID,LogSeverity,Computer,DestinationIP,SourceIP,DeviceVersion,Activity,EventCount,DestinationHostName,SourceHostName,EventType,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,Type,TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceEventClassID,LogSeverity,Computer,DestinationIP,SourceIP,DeviceVersion,Activity,EventCount,DestinationHostName,SourceHostName,EventType,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,Type,TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceEventClassID,LogSeverity,Computer,DestinationIP,SourceIP,DeviceVersion,Activity,EventCount,DestinationHostName,SourceHostName,EventType,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomString1
"9/15/2021, 7:32:12.632 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,52.4.247.103,192.168.122.184,4.1.1,Discovery: Checking External Ip,272,ipinfo.io,Windows Device_17195ab9,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.632 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,52.4.247.103,192.168.122.184,4.1.1,Discovery: Checking External Ip,272,ipinfo.io,Windows Device_17195ab9,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.632 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,52.4.247.103,192.168.122.184,4.1.1,Discovery: Checking External Ip,272,ipinfo.io,Windows Device_17195ab9,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.632 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,52.4.247.103,192.168.122.184,4.1.1,Discovery: Checking External Ip,272,ipinfo.io,Windows Device_17195ab9,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.632 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,52.4.247.103,192.168.122.184,4.1.1,Discovery: Checking External Ip,272,ipinfo.io,Windows Device_17195ab9,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.632 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,52.4.247.103,192.168.122.184,4.1.1,Discovery: Checking External Ip,272,ipinfo.io,Windows Device_17195ab9,2,0,AdditionalDestinationCount,awake-dogfood
"9/15/2021, 7:32:12.719 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.34,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_a0c56355,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.719 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.34,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_a0c56355,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.719 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.34,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_a0c56355,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.719 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.34,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_a0c56355,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.719 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.34,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_a0c56355,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.719 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.34,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_a0c56355,2,0,AdditionalDestinationCount,awake-dogfood
"9/15/2021, 7:32:12.805 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,78.47.139.102,192.168.122.249,4.1.1,Discovery: Checking External Ip,272,myexternalip.com,UnnamedDevice_ab8094e6,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.805 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,78.47.139.102,192.168.122.249,4.1.1,Discovery: Checking External Ip,272,myexternalip.com,UnnamedDevice_ab8094e6,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.805 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,78.47.139.102,192.168.122.249,4.1.1,Discovery: Checking External Ip,272,myexternalip.com,UnnamedDevice_ab8094e6,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.805 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,78.47.139.102,192.168.122.249,4.1.1,Discovery: Checking External Ip,272,myexternalip.com,UnnamedDevice_ab8094e6,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.805 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,78.47.139.102,192.168.122.249,4.1.1,Discovery: Checking External Ip,272,myexternalip.com,UnnamedDevice_ab8094e6,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.805 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,78.47.139.102,192.168.122.249,4.1.1,Discovery: Checking External Ip,272,myexternalip.com,UnnamedDevice_ab8094e6,2,0,AdditionalDestinationCount,awake-dogfood
"9/15/2021, 7:32:12.892 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.127,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_04f0c4a4,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.892 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.127,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_04f0c4a4,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.892 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.127,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_04f0c4a4,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.892 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.127,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_04f0c4a4,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.892 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.127,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_04f0c4a4,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.892 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.127,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_04f0c4a4,2,0,AdditionalDestinationCount,awake-dogfood
"9/15/2021, 7:32:12.981 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.137.253,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_21cae9ac,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.981 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.137.253,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_21cae9ac,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.981 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.137.253,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_21cae9ac,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.981 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.137.253,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_21cae9ac,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.981 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.137.253,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_21cae9ac,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:12.981 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.137.253,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_21cae9ac,2,0,AdditionalDestinationCount,awake-dogfood
"9/15/2021, 7:32:13.067 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.93,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_d5d5b00e,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.067 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.93,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_d5d5b00e,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.067 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.93,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_d5d5b00e,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.067 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.93,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_d5d5b00e,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.067 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.93,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_d5d5b00e,2,0,AdditionalDestinationCount,awake-dogfood,Customer,Windows,OperatingSystem,Windows Device,DeviceType,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.067 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.93,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,Windows Device_d5d5b00e,2,0,AdditionalDestinationCount,awake-dogfood
"9/15/2021, 7:32:13.153 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.222,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_b9cc88ba,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.153 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.222,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_b9cc88ba,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.153 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.222,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_b9cc88ba,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.153 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.222,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_b9cc88ba,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.153 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.222,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_b9cc88ba,2,0,AdditionalDestinationCount,awake-dogfood,Customer,,,,,2021-09-15T05:00:00Z,StartTime,2021-09-15T06:00:00Z,EndTime,CommonSecurityLog,"9/15/2021, 7:32:13.153 AM",Arista Networks,Awake Security,cf94b031-732d-4b6f-2cdb-746c72cd5ebc,1,awake,188.165.164.184,192.168.122.222,4.1.1,Discovery: Checking External Ip,272,ip-addr.es,UnnamedDevice_b9cc88ba,2,0,AdditionalDestinationCount,awake-dogfood
